ticker;ebitda;ebit;total_expenses;diluted_eps;net_income;operating_expense;operating_income;operating_revenue;selling_general_and_administration;gross_profit;cost_of_revenue;total_revenue;interest_expense
AMZN;2022;-3569000000;501735000000;-0,27;-2722000000;55392000000;12248000000;513983000000;54129000000;67640000000;446343000000;513983000000;2367000000
NVDA;2022;10177000000;16873000000;0,385;9752000000;7434000000;10041000000;26914000000;2166000000;17475000000;9439000000;26914000000;236000000
BRK-B;2022;-26148000000;264621000000;-10,329338;-22759000000;NULL;NULL;234121000000;25056000000;NULL;NULL;234121000000;4352000000
META;2022;29004000000;87665000000;8,59;23200000000;62416000000;28944000000;115801000000;27078000000;91360000000;25249000000;116609000000;185000000
TSLA;2022;13910000000;67630000000;3,62;12583000000;7021000000;13832000000;81462000000;3946000000;20853000000;60609000000;81462000000;191000000
UNH;2022;28435000000;295727000000;21,18;20120000000;51182000000;26405000000;322132000000;NULL;77587000000;244545000000;322132000000;2092000000
JNJ;2022;19635000000;57777000000;6,73;17941000000;33181000000;22213000000;79990000000;19046000000;55394000000;24596000000;79990000000;276000000
V;2022;18674000000;9629000000;7;14957000000;3896000000;19681000000;37614000000;3035000000;23577000000;5733000000;29310000000;538000000
XOM;2022;78551000000;335129000000;13,26;55740000000;39521000000;63546000000;398675000000;10577000000;103067000000;295608000000;398675000000;798000000
PG;2022;18434000000;62374000000;5,81;14742000000;20217000000;17813000000;80187000000;20217000000;38030000000;42157000000;80187000000;439000000
LLY;2022;7138000000;19888100000;6,572215;6244800000;13258300000;8653300000;28541400000;6067500000;21911600000;6629800000;28541400000;331600000
MA;2022;12203000000;9515000000;10,22;9930000000;4252000000;12722000000;22237000000;3502000000;16974000000;5263000000;22237000000;471000000
HD;2022;23084000000;128117000000;15,53;16433000000;27792000000;23040000000;151157000000;25406000000;50832000000;100325000000;151157000000;1347000000
CVX;2022;50190000000;195767000000;18,28;35465000000;34032000000;39950000000;235717000000;4312000000;73982000000;161735000000;235717000000;516000000
MRK;2022;17406000000;41001000000;5,71;14519000000;23590000000;18282000000;59283000000;10042000000;41872000000;17411000000;59283000000;962000000
ABBV;2022;15707000000;39240000000;6,63;11836000000;21826000000;18814000000;58054000000;15260000000;40640000000;17414000000;58054000000;2230000000
PEP;2022;11644000000;75035000000;6,42;8910000000;34459000000;11357000000;86392000000;34459000000;45816000000;40576000000;86392000000;939000000
KO;2022;12568000000;30962000000;2,19;9542000000;12962000000;12042000000;43004000000;7442000000;25004000000;18000000000;43004000000;882000000
PFE;2022;35967000000;63058000000;5,47;31372000000;28714000000;37272000000;100330000000;13677000000;65986000000;34344000000;100330000000;1238000000
AVGO;2022;14171000000;18921000000;2,646368;11495000000;7813000000;14282000000;33203000000;1382000000;22095000000;11108000000;33203000000;1737000000
COST;2022;7998000000;219161000000;13,14;5844000000;19779000000;7793000000;226954000000;19779000000;27572000000;199382000000;226954000000;158000000
TMO;2022;8561000000;36408000000;17,63;6950000000;10464000000;8507000000;44915000000;8993000000;18971000000;25944000000;44915000000;726000000
MCD;2022;9032400000;12838000000;8,33;6177400000;2862600000;10344600000;22854200000;2492200000;13207200000;9975400000;23182600000;1207000000
WMT;2022;20690000000;546812000000;1,623333;13673000000;117812000000;25942000000;572754000000;117812000000;143754000000;429000000000;572754000000;1994000000
CSCO;2022;14837000000;37582000000;2,82;11812000000;18273000000;13975000000;51557000000;11186000000;32248000000;19309000000;51557000000;360000000
ACN;2022;9243487000;52227124000;10,71;6877169000;10334358000;9367181000;61594305000;10334358000;19701539000;41892766000;61594305000;47320000
ABT;2022;8864000000;35291000000;3,91;6933000000;16149000000;8362000000;43653000000;11248000000;24511000000;19142000000;43653000000;558000000
DHR;2022;7350000000;19107000000;9,66;7209000000;8652000000;7536000000;26643000000;7124000000;16188000000;10455000000;26643000000;204000000
NFLX;2022;5970141000;25982719000;9,95;4491924000;6814434000;5632831000;31615550000;4103393000;12447265000;19168285000;31615550000;706212000
LIN;2022;5758000000;26667000000;8,23;4147000000;7217000000;6697000000;33364000000;2870000000;13914000000;19450000000;33364000000;215000000
VZ;2022;31884000000;106368000000;5,06;21256000000;47235000000;30467000000;136835000000;30136000000;77702000000;59133000000;136835000000;3613000000
ADBE;2022;6120000000;11508000000;10,1;4756000000;9343000000;6098000000;17606000000;6187000000;15441000000;2165000000;17606000000;112000000
NKE;2022;6675000000;40035000000;3,75;6046000000;14804000000;6675000000;46710000000;14804000000;21479000000;25231000000;46710000000;NULL
TXN;2022;10246000000;9631000000;9,41;8749000000;3374000000;10397000000;20028000000;1704000000;13771000000;6257000000;20028000000;214000000
CRM;2022;548000000;25944000000;1,48;1444000000;18918000000;548000000;26492000000;14453000000;19466000000;7026000000;26492000000;NULL
NEE;2022;4417000000;17397000000;2,087066;4147000000;6580000000;3559000000;20956000000;NULL;10139000000;10817000000;20956000000;585000000
PM;2022;12402000000;19540000000;5,81;9048000000;8138000000;12222000000;80720000000;8138000000;20360000000;11402000000;31762000000;768000000
BMY;2022;8945000000;37055000000;2,95;6327000000;26918000000;9104000000;45413000000;7814000000;36022000000;10137000000;46159000000;1232000000
COP;2022;29283000000;53032000000;14,57;18680000000;4551000000;25462000000;78494000000;623000000;30013000000;48481000000;78494000000;1055000000
QCOM;2022;15488000000;28340000000;11,37;12936000000;9705000000;15860000000;44200000000;2570000000;25565000000;18635000000;44200000000;490000000
HON;2022;6793000000;28396000000;7,27;4966000000;6049000000;7070000000;35466000000;4571000000;13119000000;22347000000;35466000000;414000000
MS;2022;NULL;NULL;6,15;11029000000;NULL;NULL;50210000000;23958000000;NULL;NULL;50210000000;12268000000
ORCL;2022;10404000000;26610000000;2,41;6717000000;17733000000;15830000000;42440000000;9364000000;33563000000;8877000000;42440000000;2755000000
RTX;2022;7417000000;59681000000;3,5;5197000000;6275000000;7393000000;67074000000;3684000000;13668000000;53406000000;67074000000;1300000000
INTC;2022;8264000000;60718000000;1,94;8014000000;24530000000;2336000000;63054000000;7002000000;26866000000;36188000000;63054000000;496000000
AMGN;2022;8752000000;16757000000;12,11;6552000000;10351000000;9566000000;24801000000;5414000000;19917000000;6406000000;26323000000;1406000000
SPGI;2022;5006000000;8162000000;10,2;3248000000;4409000000;3019000000;11181000000;3396000000;7428000000;3753000000;11181000000;304000000
IBM;2022;2372000000;52375000000;1,8;1640000000;24533000000;8154000000;60530000000;17483000000;32687000000;27842000000;60530000000;1216000000
GS;2022;NULL;NULL;30,06;11261000000;NULL;NULL;47365000000;15960000000;NULL;NULL;47365000000;21346000000
CAT;2022;9195000000;50598000000;12,64;6705000000;8683000000;8829000000;59427000000;5651000000;17512000000;41915000000;59427000000;443000000
BLK;2022;6502000000;11384000000;33,97;5178000000;1938000000;6489000000;17873000000;1787000000;8427000000;9446000000;17873000000;212000000
UPS;2022;15529000000;87244000000;13,2;11548000000;7915000000;13094000000;100338000000;NULL;21009000000;79329000000;100338000000;704000000
MDT;2022;6070000000;25778000000;3,73;5039000000;15633000000;5908000000;31686000000;10292000000;21541000000;10145000000;31686000000;553000000
SCHW;2022;NULL;NULL;3,5;7183000000;NULL;NULL;20762000000;6355000000;NULL;NULL;20762000000;1545000000
UNP;2022;10343000000;14958000000;11,21;6998000000;1288000000;9917000000;23159000000;NULL;11205000000;13670000000;24875000000;1271000000
DE;2022;10189000000;42256000000;23,28;7131000000;6704000000;9026000000;51282000000;3912000000;15730000000;35552000000;51282000000;1062000000
